iter	Accuracy	Logloss
0	0.8216292135	0.6570734956
1	0.8230337079	0.6282378501
2	0.8075842697	0.6056020473
3	0.8103932584	0.5802166296
4	0.8216292135	0.5570101923
5	0.8300561798	0.537150074
6	0.8314606742	0.5212299715
7	0.8314606742	0.5079768916
8	0.8314606742	0.4959545197
9	0.8314606742	0.4867124189
10	0.8286516854	0.4762810904
11	0.8370786517	0.4661934078
12	0.8384831461	0.4579968094
13	0.8356741573	0.4519684492
14	0.8342696629	0.4455664424
15	0.8356741573	0.4423136207
16	0.8342696629	0.4368229755
17	0.8370786517	0.4316024015
18	0.8356741573	0.4277846823
19	0.8384831461	0.4239387538
20	0.845505618	0.4199535142
21	0.8469101124	0.4150771057
22	0.8469101124	0.4110158675
23	0.8441011236	0.4078483595
24	0.8483146067	0.4047757352
25	0.8497191011	0.402071541
26	0.8525280899	0.4001002289
27	0.8525280899	0.3969582934
28	0.8539325843	0.3940684988
29	0.856741573	0.392224105
30	0.856741573	0.3903676463
31	0.8581460674	0.3887999065
32	0.8595505618	0.387110613
33	0.8595505618	0.3851056055
34	0.8595505618	0.3822223971
35	0.8595505618	0.3797618674
36	0.8595505618	0.3785974974
37	0.8581460674	0.3768279437
38	0.8581460674	0.3751042648
39	0.856741573	0.3736701701
40	0.8609550562	0.3727003619
41	0.8623595506	0.3713144003
42	0.8581460674	0.3698480017
43	0.8595505618	0.3683557487
44	0.8595505618	0.3675373126
45	0.8623595506	0.3662009479
46	0.8651685393	0.3641213515
47	0.8651685393	0.3622465085
48	0.8651685393	0.3610925199
49	0.8637640449	0.3602785901
50	0.8637640449	0.3587044385
