iter	Passed	Remaining
0	168	25113
1	190	14105
2	208	10213
3	228	8339
4	246	7143
5	266	6406
6	282	5777
7	301	5358
8	321	5039
9	331	4639
10	351	4443
11	370	4255
12	391	4124
13	404	3932
14	423	3811
15	433	3628
16	454	3558
17	479	3513
18	499	3444
19	521	3388
20	539	3313
21	563	3278
22	590	3261
23	615	3231
24	633	3169
25	654	3121
26	664	3025
27	687	2994
28	705	2944
29	726	2906
30	745	2862
31	755	2786
32	775	2748
33	796	2717
34	818	2690
35	838	2656
36	859	2625
37	880	2595
38	900	2563
39	919	2528
40	932	2478
41	954	2455
42	974	2426
43	994	2396
44	1037	2421
45	1060	2398
46	1079	2366
47	1098	2334
48	1119	2308
49	1139	2278
50	1160	2252
